"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API","Cards","","0","0","58","1","0"
"Mobile APP","Cards","","0","0","55","0","0"
"LK","Employee","","0","0","51","0","0"
"API","AccountTokens","","0","0","6","0","0"
"Security","Auth","","0","0","12","0","0"
"API","Subscriptions","","0","0","12","0","0"
"LK","Contacts","","0","0","12","0","0"
"API","Accounts","","0","0","59","1","0"
"API","Attributes","","0","0","4","0","0"
"API","Metrics","","0","0","3","0","0"
"API","CardLinks","","0","0","12","0","0"
"API","ClientTokens","","0","0","4","0","0"
"API","AccountActions","","0","0","4","2","0"
"API","SupportedVersions","","0","0","2","0","0"
"API","VirtualBackgrounds","","0","0","5","0","0"
"API","AttributeForms","","0","0","3","0","0"
"API","LeadGen","","0","0","2","0","0"
"API","AttributeTypeGroups","","0","0","3","0","0"
"API","Locations","","0","0","6","0","0"
"API","AttributeTypes","","0","0","2","0","0"
"LK","Cards","","0","0","14","0","0"
"API","Cultures","","0","0","3","0","0"
"API","Contacts","","0","0","5","0","0"
"API","Attachments","","0","0","3","0","0"
"LK","Company","","0","0","4","0","0"
"API","Proxy","","0","0","1","0","0"
"API","Companies","","0","0","6","0","0"
"API","Applications","","0","0","3","0","0"
"API","Exports","","0","0","4","0","0"
"API","PowerBIReports","","0","0","4","0","0"
"API","Promotions","","0","0","1","1","0"
"LK","Auth","","0","0","0","1","0"
"API","SocialNetworks","","0","0","1","0","0"
